HUC8,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
15020003,295.6626282,295.4848328,189.2930145,250.6503754,232.6290436,237.0483398,315.727417,284.9220276,214.405838,271.6404419,278.9970093,262.2820435,179.1230011,247.0319519,290.733429,229.3115997,235.4278717,271.8492737,244.2860565,296.5322266,282.0528259,272.801178,269.7726135,277.0412598,324.621582,350.1202698,395.1052246,288.4915161,333.2928772,288.1491699,312.5346069,177.0624237,272.8143616,236.3079987,382.9477844,279.59198,290.1974182,201.1632233,252.4696503,290.6901855,277.5002136,289.5667114,262.454834,249.9382019,234.2493744,196.5609741,252.3909912,208.0721436,260.1520996,240.0041809,258.4735413,170.9443054,248.0175934,221.0444336,213.9173737,260.5849609,261.616272,401.2329102,258.3896179,200.9412384,285.7553101,299.7237854,170.1793518,228.3601074,319.7763977
15020004,275.1656189,283.3103333,191.4396667,243.1267242,225.7272034,235.7397156,309.6119385,284.6584778,214.2103577,252.0643311,282.76828,259.985321,178.0373383,230.4502258,274.1664124,238.6759491,230.3635254,256.9165039,239.3095093,286.1308899,280.7890015,266.9200745,270.0093079,270.0108337,318.2582397,346.1844788,374.6586609,304.9211731,316.3057556,292.5565491,308.7172241,169.9849243,262.1386108,221.5703278,378.8890686,268.4329224,279.8526306,202.7548523,226.1648407,287.0951843,273.4766235,277.1647644,250.6734009,232.0883331,223.5908661,200.687027,249.380722,211.036438,234.6737518,210.7309113,256.1604614,152.7688446,249.3515625,216.0686798,208.0262299,261.5443726,248.6872406,394.2142639,254.2360077,186.6254883,269.6160583,301.2343445,183.2481079,246.4210968,295.7981567
15010014,239.4427185,207.7130585,174.6806641,132.1921997,106.1417084,172.1890717,92.21492004,267.6078796,154.8989563,188.2235107,147.6677094,208.081955,172.7302704,143.844574,183.7185822,200.9181671,179.2976532,141.1332092,224.5959015,200.1469879,420.3673401,298.722229,253.8066254,191.9591675,275.9474487,300.8291016,303.6391907,184.6335754,205.3065033,227.3315582,191.5654297,121.2200012,211.6667023,240.0661011,343.3928528,225.765274,223.3568268,187.3101044,133.8591919,204.3825378,250.6490936,145.0475159,148.1634674,130.9057922,62.38106918,187.0108032,304.4050293,212.8480988,88.43875885,139.9960175,142.303833,129.9090424,183.8952484,127.1435318,274.163269,145.5194244,139.456543,227.5758057,168.8364258,149.6119232,187.2839661,291.334137,107.061676,141.9826813,112.1384735
15020001,447.5215149,404.7895508,299.7189636,375.5840149,364.8140259,351.6199646,432.5287781,403.0460205,362.26828,417.5068665,400.9081116,382.7499084,278.1421509,350.0978394,393.9405823,332.0343628,339.6795349,401.9638367,370.6255798,435.8675232,398.2242126,360.0021362,384.2450256,395.7471924,424.3308411,539.1586304,532.8560181,431.8287659,464.9654846,403.4446411,438.1989441,271.7454529,396.4906311,361.8695679,512.5570679,372.6089172,402.0653381,312.3789978,382.2520447,391.1659851,429.3092651,416.9259338,348.5407104,384.2456055,366.0955811,315.5494995,344.548584,300.4420166,397.0841675,353.7521057,411.5825806,266.2564392,386.4812012,338.574585,333.3084412,396.165863,363.5343628,563.0060425,390.4087524,332.8774109,398.3801575,422.1698303,238.2076263,350.3752136,468.0410461
15020005,425.3625793,398.3257446,307.0724487,359.9594421,346.139801,342.3885193,425.4925537,401.9288635,344.5642395,371.7201233,421.9104614,425.1802673,284.6529236,340.0674744,375.6142578,347.7442322,334.6994324,406.8902283,387.8637085,426.1049805,426.6900635,389.2120972,414.4674072,395.8919067,457.3630066,525.0328979,546.8643799,471.6717834,451.8307495,427.1602783,430.7612305,288.9732361,387.0738831,377.9303284,553.8930054,381.8235779,413.8971558,320.9536438,339.7047119,364.522644,426.7737732,387.7380066,354.2418518,366.9672852,313.3738403,336.7525024,379.2064209,305.2380676,349.1435242,286.8916931,400.9038391,242.7499084,381.5756531,353.8427124,332.532196,411.3076782,359.4727173,573.3210449,396.2963257,286.5982666,396.3161011,455.8256836,267.3615112,401.3811951,447.8818054
15020009,229.5442657,256.5354309,185.8841248,227.4461517,207.4655609,232.8048553,276.0302429,285.5943909,212.8627472,216.509491,273.3132629,251.6504211,175.3798828,205.7312164,243.894455,235.0895996,219.7597198,227.7177429,214.9641418,252.043808,257.9707031,241.4285278,249.4586334,250.181427,303.7757263,318.3330688,327.3692932,309.2032776,292.3703308,294.522644,288.3334656,154.1591644,247.3856049,203.8460693,347.4904785,259.2629395,245.4283447,201.5323029,203.3965912,274.9470215,261.6843567,248.2527161,223.3466492,203.3322754,198.2654877,194.1021729,244.6544647,206.4924164,208.83284,177.6311188,240.5640411,137.6513977,255.3075562,205.0952301,187.8165741,261.48349,225.3390045,374.0582581,235.5104218,168.7720184,247.4580841,297.7818909,137.6859131,247.5696106,247.4401093
15020010,407.9949951,384.2825012,324.585144,333.1074524,345.7094727,367.083374,401.9003601,434.1658325,374.3018799,389.3983459,412.1739502,444.6919861,312.1977844,329.8547668,363.8792725,339.4758606,334.6217346,381.7384644,404.311676,404.3874817,394.0664063,379.1130066,393.5763855,412.5571289,456.5578308,526.8740234,524.7160645,493.9412842,454.811615,453.9586182,433.0381775,302.427002,415.3797607,388.8562317,565.5782471,397.8349609,391.8398132,340.4125671,336.4732666,354.7732239,440.624054,395.2662964,334.7131348,348.9341125,271.6288452,364.4497986,383.9850769,311.6739502,351.6365967,271.0257874,419.0232849,248.079361,416.8253174,358.9246521,340.3675537,430.3521729,349.122406,576.4153442,397.4509277,290.3512878,381.3468933,431.8348999,261.1468811,399.8964539,462.5082703
15020012,200.084549,191.8510437,210.3173065,221.0813599,193.9850464,236.4272156,217.1698608,306.5711365,242.732193,223.2767944,265.5814514,250.168335,197.0699158,182.0199585,221.3813324,246.3863373,186.5684509,195.5687103,177.4750214,204.2944031,236.0827789,235.9213867,254.9711761,258.9242554,309.3583374,324.1960754,232.5137634,307.6743469,264.7002563,297.4439392,264.8606262,132.613266,229.5495911,209.9442444,328.7716675,258.5298157,222.0997314,218.3261261,185.3297272,271.5272217,271.5892639,237.0684052,209.1219482,194.1069946,186.1694336,203.7679596,282.5296021,222.2614441,183.2346191,176.6422424,227.0358124,144.3209686,276.275238,201.8173218,185.9745941,269.2645264,211.0348206,354.7140808,221.1565552,162.6162872,215.0204926,236.7563782,110.5990524,225.8224945,235.6339264
15020014,217.4487305,223.2663422,196.3235474,202.7011566,192.4502563,218.4477692,250.8641205,278.3220825,210.0476379,210.9130249,263.8074341,243.8904266,176.9855652,188.7767334,231.7767792,229.7592926,191.8229218,209.2857971,198.699234,224.4813843,232.9335327,235.1413269,242.5080414,245.415451,292.5829773,304.5142517,275.9297485,299.4629822,262.5185852,284.7929688,262.2829895,144.1489563,230.4877625,198.2639465,344.6362,255.4964142,229.1588287,200.4261475,186.0840759,252.4457092,253.8918304,226.8121643,199.5241089,182.3668365,177.1282959,190.5342407,263.6937866,206.081604,184.7775421,160.0836792,228.1879272,123.2877808,256.4130249,195.7776184,185.2544861,250.0013123,212.20755,351.0379944,222.9105988,149.3735046,225.6392822,287.8064575,111.0632401,247.9152527,219.2121582
15020015,444.8246155,362.953186,385.0476379,354.3407898,338.1677551,392.2832031,382.0811768,495.1028748,368.162384,432.6733093,367.9537659,422.7069397,374.2279053,347.0587463,367.9676514,326.1067505,327.1868591,367.0511475,389.4807739,390.04599,341.3088684,356.7547607,368.5247803,455.8717346,432.2138367,513.7165527,434.270874,452.5630188,472.0565186,461.7896729,419.2161865,275.174408,471.9776306,403.4536743,506.3432617,377.4229431,373.4961243,361.2851868,332.2240601,396.5688477,463.1379089,402.4466248,318.0501709,319.4907532,244.1213837,372.897644,429.1884155,336.5872498,351.850708,293.7428284,370.9882507,259.9888916,418.7053833,357.9016418,348.4285889,423.575592,326.8994751,561.9168091,384.1813354,278.2639465,352.9975281,424.8687744,241.8007965,411.6950073,422.4199219
