HUC8,Recharge_af,Recharge_km3,Area_Km2,RechargeRate_kmyr,rate (mm/yr)
14070006,3638.1,4.49E-03,3696.5388,0.000001214,1.213979842
14070007,10930.66,1.35E-02,989.5712,1.36E-05,13.62484124
14080105,665.52,8.21E-04,731.7503,1.12E-06,1.121838433
14080106,1925.22,2.37E-03,23.5631,0.000100781,100.7813219
14080201,0,0.00E+00,621.5632,0,0
14080204,0,0.00E+00,9961.9704,0,0
14080205,0,0.00E+00,1798.7805,0,0
15010001,120257.59,1.48E-01,3802.8422,3.90E-05,39.00643895
15010002,98887.85,1.22E-01,6607.564,1.85E-05,18.46008381
15010003,92263.39,1.14E-01,4428.9186,2.57E-05,25.69589929
15010004,326909.17,4.03E-01,7599.0116,5.31E-05,53.06425944
15010005,24475.49,3.02E-02,4373.3152,6.90E-06,6.903236109
15010006,6427.21,7.93E-03,2177.016,3.64E-06,3.641606213
15010007,16272.42,2.01E-02,3663.419,0.000005479,5.47895412
15010009,15813.89,1.95E-02,3902.7525,0.000004998,4.998041008
15010010,11094.22,1.37E-02,1275.6714,1.07E-05,10.72729112
15010014,8771.96,1.08E-02,1795.6216,6.03E-06,6.025789187
15020001,36258.17,4.47E-02,1955.8396,2.29E-05,22.86676654
15020002,43835.74,5.41E-02,4188.5545,1.29E-05,12.90910947
15020003,449.36,5.54E-04,857.0275,6.47E-07,0.646743042
15020004,13904.62,1.72E-02,1801.7399,9.52E-06,9.519171262
15020005,28285.48,3.49E-02,2456.7989,1.42E-05,14.2012331
15020006,15059.78,1.86E-02,1430.8902,1.30E-05,12.98208446
15020007,22623.18,2.79E-02,2889.6944,9.66E-06,9.65681356
15020008,29824.78,3.68E-02,6539.4369,5.63E-06,5.625602051
15020009,5892.55,7.27E-03,2106.6499,3.45E-06,3.450190074
15020010,25968.74,3.20E-02,2123.643,1.51E-05,15.0834775
15020011,0,0.00E+00,4342.5,0,0
15020012,0,0.00E+00,1895.5625,0,0
15020013,0,0.00E+00,2994.4923,0,0
15020014,0,0.00E+00,2432.4927,0,0
15020015,108246.37,1.34E-01,3106.5509,4.30E-05,42.98005626
15020016,66300.97,8.18E-02,6201.8726,1.32E-05,13.1864883
15020017,1574.13,1.94E-03,2121.5785,9.15E-07,0.915194923
15020018,13599.94,1.68E-02,6868.4677,2.44E-06,2.442357557
15030101,10959.63,1.35E-02,3134.4302,4.31E-06,4.312900129
15030103,10075.47,1.24E-02,3449.4374,3.60E-06,3.602874699
15030104,24424.08,3.01E-02,3944.1784,7.64E-06,7.638248361
15030105,11667.92,1.44E-02,4185.2981,3.44E-06,3.43873856
15030106,7544.18,9.31E-03,1850.4345,5.03E-06,5.028870326
15030107,153.56,1.89E-04,184.1355,1.03E-06,1.028661984
15030108,2238.23,2.76E-03,1634.1576,1.69E-06,1.689440443
15030201,45367.28,5.60E-02,5576.2104,1.00E-05,10.03542344
15030202,38057.86,4.69E-02,1846.9121,2.54E-05,25.41734886
15030203,11279.64,1.39E-02,3710.8917,3.75E-06,3.749290325
15030204,7086.33,8.74E-03,2783.021,3.14E-06,3.140776275
15040002,0,0.00E+00,1381.1169,0,0
15040003,0,0.00E+00,44.5838,0,0
15040004,53054.85,6.54E-02,2429.6698,2.69E-05,26.93456386
15040005,0,0.00E+00,7171.8005,0,0
15040006,0,0.00E+00,5221.9154,0,0
15040007,0,0.00E+00,2786.7069,0,0
15050100,0,0.00E+00,8508.0702,0,0
15050201,0,0.00E+00,4284.533,0,0
15050202,0,0.00E+00,4631.4277,0,0
15050203,0,0.00E+00,5133.3568,0,0
15050301,0,0.00E+00,5771.9821,0,0
15050302,0,0.00E+00,2384.9426,0,0
15050303,0,0.00E+00,4357.8218,0,0
15050304,0,0.00E+00,3649.1395,0,0
15050305,0,0.00E+00,1899.0063,0,0
15050306,2807.62,3.46E-03,3130.7555,1.11E-06,1.106168501
15060101,161164.46,1.99E-01,3241.2384,6.13E-05,61.3324642
15060102,147175.97,1.82E-01,1653.0147,0.000109823,109.8227472
15060103,90363.07,1.11E-01,5579.2105,2.00E-05,19.97792333
15060104,21241.4,2.62E-02,1838.8182,1.42E-05,14.2487398
15060105,49971.45,6.16E-02,2715.8347,2.27E-05,22.69607357
15060106,0,0.00E+00,2696.0614,0,0
15060201,69250.69,8.54E-02,5578.1582,1.53E-05,15.31318009
15060202,120539.99,1.49E-01,6496.465,2.29E-05,22.88685722
15060203,43368.67,5.35E-02,5093.636,1.05E-05,10.5022006
15070101,7350.66,9.07E-03,5221.0709,1.74E-06,1.736596241
15070102,0,0.00E+00,7115.792,0,0
15070103,4104.12,5.06E-03,3810.2443,1.33E-06,1.328615579
15070104,0,0.00E+00,5002.5315,0,0
15070201,9567.01,1.18E-02,10858.1197,1.09E-06,1.086810223
15070202,0,0.00E+00,2784.0438,0,0
15070203,20586.36,2.54E-02,4263.0946,5.96E-06,5.956439093
15080101,39883.05,4.92E-02,5582.4995,8.81E-06,8.812350904
15080102,17932.21,2.21E-02,1099.483,2.01E-05,20.11765747
15080103,8207.91,1.01E-02,1288.8011,7.86E-06,7.85558984
15080200,3236.91,3.99E-03,332.923,1.20E-05,11.99275432
15080301,0,0.00E+00,3119.9113,0,0
15080302,7467.63,9.21E-03,1021.7893,9.01E-06,9.014747221
